id,name,count
1568,undercover,91
1601,war on drugs,18
1919,mayor,33
4654,undercover agent,32
1437,burglar,27
2568,language barrier,12
2669,motel,58
10323,psychiatric hospital,19
13097,maid,35
15274,nervous breakdown,12
187710,escapade,15
187717,laundry room,1
1157,wife husband relationship,171
1706,experiment,78
10937,memory,52
160313,forensic,5
163114,gunman,7
168069,animal experimentation,3
1872,loss of father,54
2702,golf,25
6128,taxes,7
455,farewell,14
1003,photographer,88
2029,iowa,6
2038,love of one's life,107
2784,mother role,15
3450,bridge,43
3451,housewife,27
3452,love letter,20
5809,marriage crisis,58
6025,photography,47
7879,secret love,44
221355,nature documentary,5
530,prophecy,31
3392,voodoo,40
13072,falling in love,81
196682,rich man,6
4418,pirate gang,8
6956,treasure hunt,51
388,scotland,56
930,in love with enemy,14
3754,legend,39
4097,independence,17
6987,idealism,9
162845,revolt,14
189433,tyranny,9
422,vietnam veteran,42
444,taxi,45
4225,night shift,9
7002,vigilante,59
7368,alienation,14
9622,misanthrope,5
242,new york,267
1545,supermarket,26
2987,gang war,27
4640,disabled child,4
13027,wedding,224
33461,diamond,35
161307,bronx,11
6015,mining,15
40897,dance lesson,2
164742,coal mining,5
188645,bagpipes,4
15016,twins,71
17953,country,8
177035,identity swap,9
1755,fascism,29
2450,auschwitz,13
4020,typhus,3
4399,victim,31
4434,interview,74
10360,prejudice,22
11728,burglary,14
15199,rabbit,22
212,london england,238
351,poison,57
9672,based on true story,196
11857,mental institution,20
13130,teenager,441
15106,psychiatrist,76
232550,stepmother,2
234682,social misfit,1
1253,roommate,56
158967,brooklyn bridge,6
7375,twin brother,24
155881,estate,19
208563,santa barbara california,2
1668,hawaii,30
5657,australia,117
33885,car,67
175976,solar power,2
2273,role of women,11
2336,ladykiller,33
3836,success,33
6779,ladies' man,5
7769,chefin,1
8642,casanova,8
9094,womanizer,21
1595,ex-girlfriend,24
3391,drug smuggle,22
5490,girlfriend,55
6618,snack bar,4
12354,hong kong,56
180294,pineapple,3
185265,expiration date,1
185266,flight attendant,2
5498,lsd,24
6231,half-brother,5
334,flying,39
2343,magic,208
13028,writer,149
14985,ireland,54
187844,flashback,143
208501,troop ship,1
550,callgirl,6
582,san francisco,80
1625,emigration,13
190019,dominican republic,4
339,submarine,60
4410,u.s. navy,31
9789,misfit,25
11800,mockumentary,61
531,southern usa,41
10229,singer,115
207981,south,3
238179,skab under tv,15
238241,foran,9
238242,nederste hylde,3
237,gay,261
824,drag queen,21
1013,homophobia,47
1196,florida,50
1862,coming out,53
2944,senator,23
6083,politician,55
201554,crossdressing,5
210608,1990s,16
1262,mountain,79
2618,miracle,28
10164,apparition,8
173644,communism,36
178611,virgin mary,2
188993,true love,7
208725,irish catholic,3
822,airport,60
3688,strip club,42
4009,witness protection,14
11730,internal affairs,8
14707,brutality,46
18026,drug lord,31
166856,hangar,2
167114,loose cannon,3
167115,bust,1
167119,reference to skittles,1
167124,black cop,2
167128,badge,1
219404,action hero,8
226376,corrupt cop,11
478,china,89
8531,panda,8
8723,poacher,10
6496,basketball,54
6782,addiction,44
6344,liverpool,8
206032,theatre company,1
207883,1940s,48
305,moon,51
1432,nasa,34
2345,spaceman,6
4776,race against time,21
9609,houston,5
9882,space,99
10617,disaster,86
14626,astronaut,68
156395,imax,50
184994,saturn v rocket,1
189098,courage,6
193479,hypothermia,2
226233,apollo program,2
226234,cape kennedy,1
226235,lunar mission,2
226236,spacecraft accident,1
160279,18th century,21
208070,highlands,3
220446,violent man,2
12105,student,162
483,riddle,26
849,dc comics,77
3259,rose,10
6969,gotham city,10
9104,partner,25
9715,superhero,178
10486,robin,9
10525,broken neck,7
33518,district attorney,23
33981,falling down stairs,5
34156,tied up,8
156116,tommy gun,4
157166,beretta,2
157583,knocked out,4
163455,super powers,99
170383,disfigurement,18
170652,father figure,17
848,double life,35
851,dual identity,24
1411,brothel,41
2316,women's sexual identity,16
2486,fantasy,71
3260,masochism,13
5499,burma,10
5855,rangoon,1
13005,doctor,198
919,smoking,26
1901,corner shop,3
3170,cigarette,11
6357,tobacco,6
6458,cigar,3
3335,halloween,72
6152,supernatural,169
6155,afterlife,36
15017,danger,29
162846,ghost,196
189449,disorder,8
193545,young heroes,5
202322,imaginary,6
206813,supernatural ability,5
206834,mischievous children,2
11505,drug pusher,3
690,gorilla,23
2521,kongo,3
3379,diamond mine,6
1860,mutiny,22
2139,russia,74
2534,missile,17
3312,nuclear missile,16
4123,embassy,13
4933,battle for power,10
6791,torpedo,5
198423,moral dilemma,11
217133,post cold war,1
221092,aircraft carrier,2
226740,chain of command,1
226741,launch code,1
226742,sonar,1
14893,art,57
75,gunslinger,29
139,anti terror,5
502,ambush,34
534,mexico,110
953,guitar,24
3458,bartender,22
10044,tragic hero,10
14575,mariachi,3
41372,leg brace,3
154889,concealed weapon,1
